Word,Frequency,Rank
thoughts,38,475
consider,38,476
pleasant,38,477
bring,38,478
asked,38,479
convinced,37,480
son,37,481
creature,37,482
added,37,483
dixon,37,484
letters,37,485
continued,37,486
nature,37,487
open,37,488
truth,37,489
use,37,490
got,36,491
sitting,36,492
head,36,493
returned,36,494
woodhouse's,36,495
determined,36,496
kindness,36,497
sat,36,498
object,36,499
received,36,500
entirely,36,501
fancy,36,502
impossible,36,503
taylor,36,504
neither,36,505
necessary,35,506
common,35,507
night,35,508
seem,35,509
enscombe,35,510
amiable,35,511
new,35,512
child,35,513
surprize,34,514
temper,34,515
goddard's,34,516
circumstance,34,517
comfortable,34,518
taste,34,519
marriage,34,520
forward,34,521
engaged,34,522
please,34,523
handsome,34,524
news,34,525
wanting,33,526
probably,33,527
keep,33,528
sent,33,529
appear,33,530
supposed,33,531
perfect,33,532
absolutely,33,533
knightley's,33,534
health,33,535
large,33,536
excellent,33,537
fortune,32,538
acquainted,32,539
within,32,540
meet,32,541
company,32,542
pain,32,543
meaning,32,544
serious,31,545
resolution,31,546
praise,31,547
hearing,31,548
men,31,549
evil,31,550
ten,31,551
pass,31,552
anxious,31,553
maple,30,554
difficulty,30,555
begin,30,556
worth,30,557
papa,30,558
danger,30,559
interesting,30,560
circumstances,30,561
small,30,562
face,30,563
obliging,30,564
appearance,30,565
matter,30,566
greater,30,567
dancing,30,568
persuaded,30,569
fairfax's,30,570
knows,30,571
says,30,572
spoken,30,573
difference,30,574
compliment,30,575
husband,30,576
charming,30,577
churchill's,30,578
grove,29,579
greatest,29,580
gratitude,29,581
case,29,582
engagement,29,583
followed,29,584
beauty,29,585
second,29,586
delighted,29,587
fair,29,588
months,29,589
turned,29,590
body's,29,591
surprized,29,592
shew,28,593
smiling,28,594
week,28,595
turn,28,596
cheerful,28,597
none,28,598
attentions,28,599
judgment,28,600
except,28,601
times,28,602
robert,28,603
forget,28,604
advantage,27,605
warm,27,606
ball,27,607
excuse,27,608
companion,27,609
decided,27,610
resolved,27,611
merely,27,612
certain,27,613
ashamed,27,614
actually,27,615
happened,27,616
year,27,617
ago,27,618
easy,27,619
curiosity,27,620
whenever,27,621
crown,26,622
view,26,623
understanding,26,624
loved,26,625
pity,26,626
conduct,26,627
regret,26,628
consequence,26,629
clever,26,630
knowledge,26,631
tried,26,632
taking,26,633
occasion,26,634
spirit,26,635
sister,26,636
mentioned,26,637
completely,26,638
late,26,639
quiet,25,640
match,25,641
