Word,Frequency,Rank
alone,21,476
matter,21,477
ready,21,478
particularly,21,479
care,21,480
natural,21,481
ill,21,482
turned,21,483
believed,21,484
comfort,21,485
meeting,21,486
match,20,487
call,20,488
understanding,20,489
appeared,20,490
sorry,20,491
hands,20,492
none,20,493
kind,20,494
why,20,495
health,20,496
already,20,497
spoken,20,498
pain,20,499
concert,20,500
pleased,20,501
rest,20,502
influence,20,503
need,20,504
understood,20,505
cousins,19,506
wonder,19,507
supposed,19,508
used,19,509
value,19,510
voice,19,511
took,19,512
giving,19,513
conduct,19,514
sometimes,19,515
musgrove's,19,516
nobody,19,517
open,19,518
air,19,519
delighted,19,520
engaged,19,521
style,19,522
large,19,523
handsome,19,524
notice,19,525
lived,19,526
anybody,19,527
terms,18,528
probably,18,529
serious,18,530
hoped,18,531
circumstance,18,532
generally,18,533
suffering,18,534
sea,18,535
finding,18,536
small,18,537
tone,18,538
daughter,18,539
imagine,18,540
harvilles,18,541
walter's,18,542
expected,18,543
lost,18,544
also,18,545
respect,17,546
sisters,17,547
to-morrow,17,548
view,17,549
warm,17,550
favour,17,551
months,17,552
mary's,17,553
entirely,17,554
observed,17,555
second,17,556
kept,17,557
disposed,17,558
dinner,17,559
turn,17,560
proper,17,561
sense,17,562
curiosity,17,563
completely,17,564
anxious,17,565
everybody,17,566
waiting,17,567
caught,16,568
pride,16,569
son,16,570
farther,16,571
listened,16,572
drew,16,573
description,16,574
extremely,16,575
reached,16,576
window,16,577
perfect,16,578
loved,16,579
hearing,16,580
meant,16,581
nurse,16,582
seem,16,583
times,16,584
history,16,585
ago,16,586
late,16,587
money,16,588
particular,16,589
vain,16,590
behind,15,591
quiet,15,592
fact,15,593
town,15,594
trying,15,595
smallest,15,596
period,15,597
proof,15,598
highly,15,599
table,15,600
continued,15,601
followed,15,602
instead,15,603
exactly,15,604
kindness,15,605
distress,15,606
knowing,15,607
seat,15,608
afraid,15,609
low,15,610
common,15,611
answered,15,612
fellow,15,613
agreed,15,614
nearly,15,615
staying,15,616
liked,15,617
remain,15,618
profession,15,619
buildings,15,620
remember,15,621
attending,15,622
aware,15,623
four,15,624
allowed,15,625
impossible,15,626
round,15,627
claims,15,628
meaning,15,629
countenance,15,630
live,14,631
struck,14,632
friendship,14,633
fully,14,634
glance,14,635
sent,14,636
honour,14,637
ashamed,14,638
yourself,14,639
comfortable,14,640
property,14,641
agitation,14,642
necessary,14,643
trouble,14,644
sit,14,645
keep,14,646
justice,14,647
consciousness,14,648
future,14,649
london,14,650
besides,14,651
cobb,14,652
neighbourhood,14,653
looks,14,654
turning,14,655
instantly,14,656
persuaded,14,657
difference,14,658
evil,14,659
girls,14,660
yesterday,14,661
youth,14,662
introduced,14,663
sat,14,664
getting,14,665
truth,14,666
play,13,667
inn,13,668
altogether,13,669
